period;cod_cod;cod_id;cod_name;city;stratum;year;semester;school_state;school_city;faculty;program;cod_snies;knowledge_area;shift;age;civil_status;gender;residence_zone;foreign;school_name;school_calendar;school_character;school_language;school_methodology;academic_aid;financial_aid;other_aid;study_and_work;age_mod;cantidad_matriculas;Cluster
2018-03;11602C;10499U;6342N;cali;1;2018;2;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;19;soltero;M;urbana;no;colegio compartir;a;mixto;espanol:ingles;educacion tradicional;no;si;no;no;15-20;1;1
2017-01;9490C;1049U;8128N;cali;4;2017;1;valle del cauca;cali;Engineering;ingenieria mecatronica;20104;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;urbana;no;liceos del ejercito pichincha;a;mixto;ingles;educacion tradicional;si;si;no;no;15-20;1;0
2019-01;12050C;10500U;13787N;cali;3;2019;1;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;19;soltero;F;urbana;no;ie nuevo latir sede principal;a;mixto;espanol;educacion tradicional;si;si;si;no;15-20;1;1
2012-01;3349C;10501U;15832N;cali;5;2012;1;valle del cauca;cali;Administrative Sciences;administracion de empresas;20127;economia administracion contaduria y afines;diurna;23;soltero;M;nd;no;liceos del ejercito pichincha;a;mixto;nd;nd;nd;nd;nd;nd;21-25;1;0
2009-03;816C;10502U;1536N;cali;1;2009;2;valle del cauca;tulua;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;21;soltero;F;nd;no;colegio nazareth tulua;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;0
2010-03;1772C;10503U;37N;cali;5;2010;2;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;21;soltero;F;nd;no;colegio ideas;b;mixto;nd;nd;nd;nd;nd;nd;21-25;1;0
2010-03;1484C;10504U;12932N;cali;5;2010;2;valle del cauca;cali;Administrative Sciences;administracion de empresas;20127;economia administracion contaduria y afines;nocturna;21;soltero;M;nd;no;colegio villegas;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;0
2010-03;1664C;10505U;15844N;cali;6;2010;2;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;nocturna;21;soltero;M;nd;no;aspaen colegio juanambu;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;0
2014-01;5769C;10506U;12333N;cali;1;2014;1;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;25;soltero;F;nd;no;instituto de capacitacion incap;a;mixto;nd;nd;nd;nd;nd;nd;21-25;1;0
2011-01;2227C;10507U;8142N;cali;3;2011;1;valle del cauca;candelaria;Engineering;ingenieria ambiental;53485;ingenieria arquitectura urbanismo y afines;diurna;22;soltero;M;nd;no;colegio rodrigo lloreda caicedo;nd;nd;nd;nd;nd;nd;nd;nd;21-25;1;0
